,predictions,groundtruths
358,17.081257,20.1
359,16.901567,15.5
360,11.365394,15.9
361,9.634017,15.900000000000002
362,10.017767,17.7
363,9.566745,17.4
364,10.675731,18.3
365,10.008498,22.6
366,12.451096,25.300000000000004
367,11.401276,29.6
368,13.509317,28.3
369,17.578896,25.7
370,17.43845,22.4
371,16.970058,23.1
372,17.329748,21.0
373,13.881825,21.8
374,14.148532,22.1
375,13.724362,19.9
376,14.836576,18.6
377,13.192504,15.7
378,16.203644,16.0
379,16.596777,20.8
380,20.101038,25.6
381,25.481123,26.399999999999995
382,26.461048,33.1
383,26.078465,30.899999999999995
384,22.181936,21.3
385,17.01587,14.099999999999998
386,17.08185,11.900000000000002
387,16.282118,13.2
388,17.096676,12.4
389,15.085301,12.5
390,17.846931,13.7
391,18.817442,11.8
392,22.21161,13.8
393,27.204645,13.0
394,27.485218,15.3
395,26.80966,12.7
396,10.55532,12.500000000000002
397,9.140212,8.8
398,9.494353,9.9
399,8.966075,6.8999999999999995
400,10.212041,6.9
401,9.64165,7.4
402,11.777085,13.0
403,10.412244,23.7
404,12.018477,30.1
405,15.348435,31.7
406,14.704731,31.9
407,13.909924,34.9
408,24.576466,33.0
409,17.720419,27.3
410,17.210457,17.4
411,15.813567,15.4
412,16.116455,14.899999999999999
413,14.17878,13.5
414,16.541445,15.9
415,17.0978,15.400000000000002
416,19.629295,18.7
417,24.171337,20.3
418,24.336102,20.2
419,24.002014,13.3
420,9.597259,12.0
421,8.98827,16.1
422,9.793105,18.4
423,9.840124,15.100000000000001
424,11.223009,10.6
425,10.403291,15.200000000000001
426,13.754896,22.200000000000003
427,13.169107,31.100000000000005
428,16.458504,46.10000000000001
429,22.054083,44.0
430,23.862568,42.3
431,23.777262,35.8
432,26.140997,17.6
433,19.410925,16.9
434,19.04395,18.0
435,17.923378,16.8
436,18.45718,15.4
437,16.222553,15.800000000000002
438,18.569805,16.7
439,19.592337,27.6
440,22.868612,34.9
441,27.240984,40.1
442,27.0925,44.3
443,26.274567,44.2
444,30.053484,45.8
445,22.024685,48.20000000000001
446,21.802952,48.8
447,20.69484,46.7
448,21.080858,47.300000000000004
